network,siteid,siteName,county,state,latitude,longitude,elevation,status,startdate,stopdate
NTN,NY98,Whiteface Mountain,Essex,NY,44.3933,-73.8594,610,A,1984-07-03 05:00,
NTN,NY99,West Point,Orange,NY,41.3511,-74.0484,211,A,1983-09-13 05:00,
NTN,OH09,Oxford,Butler,OH,39.5309,-84.7238,284,A,1984-08-14 05:00,
NTN,OH15,Lykens,Crawford,OH,40.5502,-82.9982,303,I,1999-01-26 06:00,2010-10-12 05:00
NTN,OH17,Delaware,Delaware,OH,40.3555,-83.0661,285,A,1978-10-03 05:00,
NTN,OH49,Caldwell,Noble,OH,39.7928,-81.5311,276,A,1978-09-26 05:00,
NTN,OH54,Deer Creek State Park,Pickaway,OH,39.6359,-83.2606,267,A,1999-01-26 06:00,
NTN,OH71,Wooster,Wayne,OH,40.7813,-81.9197,308,A,1978-09-26 05:00,
NTN,OK00,Salt Plains National Wildlife Refuge,Alfalfa,OK,36.8053,-98.2006,345,A,1983-12-13 06:00,
NTN,OK08,Lake Eucha,Delaware,OK,36.3481,-94.8239,243,I,2000-02-01 06:00,2004-01-28 06:00
NTN,OK17,Kessler Atmospheric and Ecological Field Station,McClain,OK,34.9800,-97.5214,331,A,1983-03-29 06:00,
NTN,OK25,Clayton Lake,Pushmataha,OK,34.5297,-95.3531,349,I,1983-02-01 06:00,1986-08-12 05:00
NTN,OK29,Goodwell Research Station,Texas,OK,36.5908,-101.6175,999,A,1985-01-08 06:00,
NTN,OK99,Stilwell,Adair,OK,35.7508,-94.6700,299,I,2007-05-22 05:00,2009-07-28 05:00
NTN,OR02,Alsea Guard Ranger Station,Benton,OR,44.3856,-123.6153,104,I,1979-12-27 06:00,2007-12-26 06:00
NTN,OR08,Lost Creek Dam,Jackson,OR,42.6678,-122.6831,475,I,1980-10-21 05:00,1983-12-06 06:00
NTN,OR09,Silver Lake Ranger Station,Lake,OR,43.1190,-121.0590,1338,A,1983-08-23 05:00,
NTN,OR10,H. J. Andrews Experimental Forest,Lane,OR,44.2118,-122.2560,443,A,1980-05-13 05:00,
NTN,OR11,Vines Hill,Malheur,OR,43.8994,-117.4269,904,I,1980-07-15 05:00,1993-03-30 06:00
NTN,OR17,Pendleton,Umatilla,OR,45.6900,-118.8378,452,I,1980-04-15 05:00,1982-06-15 05:00
NTN,OR18,Starkey Experimental Forest,Union,OR,45.2247,-118.5130,1254,A,1984-03-06 06:00,
NTN,OR97,Hyslop Farm,Benton,OR,44.6347,-123.1900,69,A,1983-04-26 05:00,
NTN,OR98,Bull Run,Clackamas,OR,45.4492,-122.1533,267,I,1982-07-13 05:00,2003-10-06 05:00
